index,y
7941,0.3541509433962263
4711,0.3687302839116718
6171,0.19830745341614925
766,0.3687302839116718
1963,0.35727272727272724
15785,0.026735042735042455
14952,0.3541509433962263
11756,0.061378091872791495
5863,0.4335955056179777
1096,0.5767611336032389
1658,0.5767611336032389
11872,0.0701392111368911
7122,0.13040833333333388
14356,0.11231499051233407
16663,0.026735042735042455
12726,0.19830745341614925
15020,0.3541509433962263
624,0.6727704485488126
548,0.9153846153846152
3775,0.5463128491620112
13724,0.026735042735042455
3314,0.5463128491620112
16207,0.13040833333333388
4742,0.5767611336032389
16591,0.3541509433962263
8466,0.13105788423153697
11266,0.13040833333333388
12954,0.6727704485488126
11024,0.3541509433962263
8746,0.13040833333333388
11821,0.026735042735042455
6664,0.36
7331,0.13040833333333388
12511,0.25572446555819495
8267,0.11231499051233407
7721,0.13040833333333388
8134,0.511051094890511
16179,0.13040833333333388
11167,0.11231499051233407
1861,0.3541509433962263
12376,0.3541509433962263
12452,0.13040833333333388
1187,0.4335955056179777
16369,0.6727704485488126
7906,0.13040833333333388
13821,0.026735042735042455
8664,0.5767611336032389
9586,0.3687302839116718
9376,0.13040833333333388
12056,0.19830745341614925
5031,0.5629931972789117
7795,0.3687302839116718
7059,0.6617391304347823
14891,0.300644718792867
10009,0.511051094890511
2456,0.17429460580912867
5636,0.25572446555819495
11061,0.3541509433962263
9227,0.511051094890511
7223,0.13105788423153697
4659,0.511051094890511
4221,0.511051094890511
14809,0.300644718792867
13775,0.11231499051233407
1204,0.9503591160220988
12102,0.13040833333333388
16388,0.0701392111368911
2400,1.1528979591836732
7699,0.3687302839116718
2585,0.3687302839116718
7302,0.3687302839116718
12818,0.026735042735042455
664,0.3541509433962263
142,4.845714285714286
14629,0.18257525083612014
15542,0.13105788423153697
12490,0.13040833333333388
14576,0.11231499051233407
14909,0.17429460580912867
9482,0.5767611336032389
10193,0.18257525083612014
4944,1.6766666666666667
380,1.7782191780821914
1145,1.90975
8723,0.300644718792867
4125,0.13647058823529412
8460,0.13040833333333388
154,1.7782191780821914
9763,0.4335955056179777
2749,0.3541509433962263
2813,0.25572446555819495
1916,0.5767611336032389
2310,0.9503591160220988
11452,0.35727272727272724
14528,0.061378091872791495
4542,0.511051094890511
2670,0.300644718792867
13103,0.5629931972789117
13908,0.3541509433962263
2122,0.9503591160220988
8410,0.5629931972789117
15559,0.0701392111368911
2261,0.7733333333333333
4708,0.11231499051233407
3284,1.7782191780821914
449,0.9547368421052628
4900,0.3687302839116718
15293,0.39769841269841283
4808,0.3687302839116718
6582,0.5463128491620112
16095,0.061378091872791495
14486,0.026735042735042455
13934,0.11231499051233407
1143,1.8883333333333334
12703,0.13040833333333388
13273,0.3687302839116718
15771,0.17429460580912867
10923,0.3687302839116718
5654,0.25572446555819495
13227,0.19830745341614925
4288,0.13040833333333388
15110,0.13040833333333388
12189,0.17429460580912867
5963,0.39769841269841283
9174,0.11231499051233407
3600,1.102352941176471
9228,0.13040833333333388
591,0.9503591160220988
11203,0.18257525083612014
10730,0.3687302839116718
3813,0.3687302839116718
7852,0.13040833333333388
4430,0.7276470588235294
7650,0.2608382066276801
10863,0.4335955056179777
1700,0.3687302839116718
10491,0.061378091872791495
1921,0.3687302839116718
4632,0.300644718792867
275,3.126666666666665
7801,0.3687302839116718
6740,0.3541509433962263
9870,0.3687302839116718
12281,0.19830745341614925
18,8.813333333333333
3057,0.7733333333333333
16718,0.0701392111368911
15990,0.061378091872791495
3807,0.5629931972789117
11995,0.13040833333333388
6821,0.5463128491620112
13387,0.11231499051233407
7294,0.3687302839116718
6952,0.18257525083612014
13699,0.0701392111368911
16564,0.3687302839116718
14431,0.026735042735042455
13588,0.11231499051233407
1992,0.3687302839116718
12311,0.13040833333333388
44,4.845714285714286
13931,0.25572446555819495
10817,0.13105788423153697
5164,0.2608382066276801
9136,0.08654320987654317
11235,1.4299999999999997
11555,0.22883333333333322
10775,0.3541509433962263
2509,0.300644718792867
16687,0.0701392111368911
15271,0.026735042735042455
12920,0.061378091872791495
13772,0.3687302839116718
1553,0.8352727272727271
10813,0.13105788423153697
10251,0.25572446555819495
15307,0.061378091872791495
16320,0.300644718792867
16135,0.3687302839116718
2092,0.3687302839116718
775,0.3541509433962263
