ID,Segmentation
461642,1
462489,0
459573,1
461424,1
460283,1
459697,0
466565,0
460928,0
464348,1
467651,0
461395,0
466185,0
459638,0
462512,1
466848,0
462233,0
460447,1
460941,1
463668,0
461537,1
465155,1
463124,0
465019,0
463855,0
461049,1
463573,0
460995,0
461443,0
458993,0
460631,0
459704,0
465378,0
462501,0
463261,0
460300,1
465672,1
463058,0
460055,0
464106,1
462171,0
464262,1
460029,0
464911,0
460263,1
467574,0
464858,0
464307,0
461959,0
461491,0
460678,0
462031,0
465401,0
463226,0
461174,0
463302,0
463865,0
466764,0
459775,1
461727,0
464104,0
467093,0
466820,0
459932,0
462577,1
467715,0
466112,0
461996,1
464291,0
465823,1
465500,0
464573,0
459713,0
466105,0
463378,0
463694,0
461004,0
466555,0
460211,1
459561,0
466693,0
467483,0
462793,0
461826,0
465577,0
462646,1
465321,1
464257,0
465563,0
465133,0
462200,1
461696,0
459218,0
465245,0
461541,1
459057,0
459835,1
467591,0
464874,0
467884,0
462516,0
458996,1
464248,0
463833,0
467693,0
465517,0
461728,1
464123,0
460926,0
460978,0
459028,0
462748,0
460149,0
467226,0
462424,1
462118,1
459305,1
461375,0
461644,0
465316,0
465598,0
465546,0
464737,1
462714,0
465744,0
464531,1
467184,0
465909,1
460382,0
464229,0
459032,0
459793,0
459496,1
466223,0
464032,0
463318,1
465759,1
466996,1
460328,0
462049,0
466080,1
466421,0
459910,0
463929,0
459706,0
462606,1
467152,1
459269,0
463478,0
465724,1
459973,0
466629,0
466096,1
464941,0
465452,0
466984,1
462589,0
466433,1
465529,0
466422,0
459779,1
461257,0
463040,0
467427,0
459715,0
461894,0
459401,0
459852,1
463151,0
465197,0
467733,0
464709,1
460968,1
466157,1
459261,0
465513,1
464646,1
460135,0
463131,0
463747,0
467194,0
461313,0
461350,0
459839,0
459753,0
462367,0
464761,0
459527,0
465677,1
459178,0
460808,1
461396,0
464066,0
464167,0
459504,0
465523,0
467633,1
460356,0
460387,1
465143,0
465110,1
464304,1
461984,0
461408,0
466547,1
466762,1
465385,0
464983,0
462167,0
461789,0
461381,1
462933,0
459623,1
465222,1
465342,0
463837,1
460415,1
462198,1
461830,0
459655,0
462722,0
463229,0
466361,0
464478,0
467295,0
462104,1
465644,0
466225,0
